CENSUS_TRACT_GEO_ID_2010,Blight Violations
26163530300,330.0204981035273
26163538700,541.7721212573091
26163512600,242.72851859053074
26163518600,166.48888622475624
26163531900,426.46658706485044
26163538100,88.66020089146372
26163546300,40.930392096394634
26163522300,328.84497067586403
26163501800,277.55272428117866
26163507000,327.60601647925097
26163506100,528.7628621320549
26163545400,103.79820267461852
26163516800,309.97374280917444
26163501500,360.93213043424373
26163530400,371.97100595275083
26163516300,316.5496213982858
26163504100,386.86819643187556
26163516400,468.3631535838246
26163522400,118.83720709768184
26163538200,84.73509761029176
26163536800,659.7893624500964
26163507900,665.7692097718941
26163507300,361.2246150151603
26163533900,86.76652341303115
26163500800,581.3780535510607
26163516200,757.6878171875398
26163542100,690.3158553883054
26163530800,265.40601618291373
26163510700,344.055388691483
26163524300,150.5450252082697
26163531200,217.59888380476562
26163523200,289.5468228724763
26163511000,205.61036126774164
26163524100,164.5441301315084
26163518400,91.52686889485854
26163533000,502.7930805890289
26163526100,280.43364546014936
26163546400,485.81570457801854
26163545700,652.9389868608969
26163532700,252.33333520443665
26163546600,716.0860973058255
26163506900,395.8764647083517
26163541400,149.92106958935557
26163530100,551.1944074139793
26163536600,471.2782543382369
26163501700,387.24106061209363
26163524700,208.34063002897312
26163518900,96.43501047514066
26163545600,629.432785307975
26163533200,541.7455180369766
26163543400,491.82062987513586
26163516600,129.92943159023218
26163537200,279.1904243473377
26163500500,504.2594755435205
26163524800,389.8777450781523
26163542700,269.1048863021787
26163532400,350.66071776761277
26163542800,280.0692446750708
26163538300,254.8022673004841
26163539000,637.143430115427
26163500900,855.1249773261391
26163538600,633.2837703286363
26163526000,334.5916580341762
26163515400,75.58137027371083
26163544300,279.5033454023644
26163543600,480.2660010005251
26163540500,460.3024999840197
26163524200,463.3941436679559
26163507500,395.2679965096
26163518800,283.0319834162533
26163520700,128.258136808425
26163542500,262.2113382461691
26163504300,508.3208546495448
26163523300,441.1294657647511
26163541300,365.20438360672983
26163512200,16.18151240007257
26163517100,46.13926515228924
26163533700,654.5559830793809
26163536100,703.3568324851067
26163537000,1018.044622225168
26163504400,625.168361312859
26163523100,181.39048168017138
26163533500,416.4245993210449
26163535300,594.8983660982881
26163501400,546.8697497471984
26163510500,230.68785244394476
26163517300,90.51310793703652
26163521300,378.6190187549153
26163502000,477.87627197123777
26163525500,162.68652794281914
26163525000,56.84521383702169
26163539300,565.4415368352644
26163521100,103.02305329657148
26163522500,203.22589816549404
26163540600,375.01161021521705
26163537700,594.0952616031306
26163546800,558.4605898508695
26163534700,961.5632033302696
26163542600,620.1618788339173
26163514300,196.2611277702388
26163541200,328.1290534689445
26163520200,11.496329853130916
26163516000,418.4561174457842
26163546500,569.7644192305221
26163539500,245.93354901254426
26163514500,529.7443855496786
26163501000,968.4097372240414
26163516100,217.55626443790158
26163535100,879.5942781120399
26163506700,129.2598767254834
26163506600,446.7529631303875
26163517200,113.6867871514901
26163525800,463.05267835812634
26163545100,467.6678952872785
26163536900,1085.2708303589714
26163518500,321.43116965101865
26163522200,269.370721660999
26163503300,494.8412352278792
26163527200,266.9510961486964
26163546000,723.215822602121
26163524000,139.48467140999833
26163527300,231.08139114436503
26163544000,236.96185285266733
26163504200,572.75512914222
26163543800,255.74387281550315
26163536400,646.7698929627161
26163510400,151.34196717467117
26163534500,268.12262928923724
26163515200,311.17953171838843
26163534600,558.5047847446633
26163521800,15.355852514453476
26163544100,95.51618579710137
26163543000,172.08375346419012
26163536500,545.2293197907851
26163540100,337.04415888224884
26163537300,476.4155304235346
26163531100,377.8650726374597
26163542300,621.2768473427301
26163505000,437.33286688138645
26163546100,605.6310383140875
26163538500,668.1771477929299
26163513900,259.0996143680821
26163517500,48.607034996368235
26163535200,423.6046906734581
26163516500,97.37901159375873
26163505200,438.20657519651155
26163520800,66.69194803475776
26163503400,421.2296481011579
26163525700,326.6777843853424
26163507800,180.08449094056562
26163501900,778.9405566011826
26163538900,284.67070000065223
26163542200,405.5656834134893
26163512400,204.29908477785673
26163506300,365.07644813103775
26163521900,101.52123872677046
26163532300,167.2369523338328
26163517000,126.25417572722618
26163534400,621.4052799235886
26163536300,771.6579685958518
26163523400,206.2766465635613
26163501300,515.1257340838764
26163546200,182.8347398929045
26163544200,496.6415688275512
26163501600,307.46836429174647
26163526400,493.3389669598058
26163500600,357.9352853561897
26163511400,162.36555791146947
26163508100,508.41378330168897
26163539700,1058.5010958045548
26163535400,751.1677437246354
26163533400,444.038275058792
26163506200,546.9538891682612
26163531700,682.1722058323819
26163531300,314.3589124498659
26163520400,238.20785680721144
26163985000,46.62746840188681
26163537500,763.3134935021134
26163533600,523.4372397353725
26163503100,439.4011814282591
26163539100,832.2939438489062
26163505400,467.6622779207623
26163535600,523.2967292058721
26163503900,426.4684449758487
26163507100,414.256668518314
26163507400,367.77410575532895
26163543700,336.2636922005601
26163538400,103.68603052620159
26163545300,526.9036530850036
26163537800,437.10364583706934
26163516700,11.51992888333183
26163985100,12.692920147162411
26163518000,46.66281850575359
26163536700,574.0506192927155
26163532600,462.0601765611145
26163500200,721.2117257358593
26163500400,305.9065620677387
26163500300,547.0867291591337
26163506500,515.7391615391988
26163533100,568.7811727896802
26163513200,744.4031961948727
26163520300,170.34030413706262
26163501200,811.0686147148692
26163534200,651.5125191181645
26163531800,327.9385093352929
26163511900,229.95853210224143
26163503600,470.9163648130745
26163534100,640.2961185378259
26163513300,127.92446548018785
26163531500,859.4519664255508
26163508000,220.11188257901816
26163545500,717.1659777599757
26163540200,609.3481290804565
26163538800,313.52476426494275
26163533300,489.10247597896097
26163539600,417.27728080506074
26163504000,239.05497258152843
26163545200,612.5320060791613
26163540800,211.85183035029132
26163542900,196.9641862228577
26163534300,442.41661487789816
26163512300,424.18744480342457
26163541500,308.69595774322215
26163543500,316.0508600022525
26163515300,517.9672681432891
26163521400,285.6809919753459
26163524500,16.108704343403556
26163541800,239.72537680960613
26163531600,1396.9039921345877
26163546900,332.21310848178257
26163513700,78.74850221978285
26163507200,616.7248892720806
26163545900,1270.5880150385242
26163504800,45.9108002423418
26163515900,337.68284772204646
26163985300,114.22440346421114
26163526300,375.6902560908731
26163540400,454.2908553110579
26163506800,216.2450740853254
26163539400,512.8126268108205
26163523800,281.6236770906298
26163506400,361.53986998960966
26163531400,610.5699678217245
26163514200,492.22896207021523
26163526200,385.81901849855853
26163541700,115.37729569949956
26163515700,188.76179578628802
26163516900,115.09757940498487
26163505500,174.47150202878632
26163540700,480.7544860993856
26163504900,206.1598181085325
26163504700,283.6890232889442
26163514100,259.6191110749239
26163503200,584.7468697527182
26163530200,446.1597926382466
26163525600,243.88129570571743
26163535700,796.7356180128203
26163522100,159.93625108731806
26163511300,406.0816244141018
26163530900,389.15176227214823
26163524900,53.10537565694184
26163543200,349.16331354896784
26163526500,619.3815621904733
26163537100,594.0136799284354
26163985200,14.17735937110578
26163985900,138.0757395718736
26163513600,329.87346432292844
26163540300,458.9284856115766
26163536200,950.8855633824303
26163503500,459.7143335665769
26163542400,835.7716278294541
26163501100,554.1531892662783
26163537600,876.651029474333
26163512900,288.41315883122013
26163541100,401.6123876248288
26163511200,158.19597263844003
26163535500,641.7919699057583
26163540900,349.48415755348765
26163512100,291.5627797915204
26163500700,697.5002253943951
26163535000,707.8868489158477
26163546700,693.627219147244
26163500100,680.7453567080895
26163541000,453.7550535759078
26163539200,586.8126601738887
26163515600,228.60573831389726
26163545800,1373.7192458179027
26163525400,188.62319027066894
26163505100,181.3183813001804
26163530500,890.5542698628931
26163510600,250.02077219454284
26163532200,230.746967815793
26163543100,326.6348647501605
26163521500,65.84596191032803
26163522000,281.70511489090165
26163543900,72.54876786522905
